1,,1
2,85,8
3,69,8
4,399,8
5,166,8
6,4,85
7,294,85
8,63,85
9,348,85
10,301,85
11,440,42
12,4,81
13,424,77
14,358,77
15,484,77
16,502,77
17,624,77
18,5,144
19,5,144
20,494,179
21,447,48
22,27,50
23,122,50
24,123,61
25,47,61
26,207,61
27,326,61
28,207,43
29,62,43
30,95,43
31,26,43
32,42,177
33,29,116
34,112,2
35,31,4
36,36,120
37,37,19
38,294,19
39,344,19
40,301,19
41,339,19
42,,75
43,165,133
44,294,12
45,344,12
46,4,12
47,348,12
48,48,118
49,4,14
50,418,14
51,108,14
52,344,14
53,294,14
54,495,152
55,461,40
56,58,56
57,59,172
58,60,64
59,65,45
60,66,44
61,294,44
62,375,44
63,67,123
64,68,97
65,70,122
66,73,25
67,191,25
68,288,25
69,366,25
70,57,25
71,77,9
72,295,9
73,123,9
74,78,27
75,92,130
76,93,134
77,360,134
78,97,106
79,100,95
80,496,95
81,300,165
82,362,165
83,243,165
84,203,165
85,475,165
86,300,165
87,362,165
88,243,165
89,203,165
90,103,129
91,105,62
92,497,113
93,86,49
94,106,49
95,200,49
96,265,49
97,354,49
98,130,170
99,118,20
100,123,63
101,127,121
102,127,171
103,125,46
104,129,119
105,130,83
106,15,6
107,377,6
108,313,6
109,362,6
110,15,33
111,377,33
112,313,33
113,362,33
114,15,67
115,377,67
116,313,67
117,362,67
118,236,3
119,104,3
120,211,3
121,248,3
122,234,3
123,236,136
124,104,136
125,211,136
126,248,136
127,234,136
128,392,151
129,421,151
130,102,151
131,264,151
132,51,151
133,612,151
134,488,151
135,472,151
136,618,151
137,595,151
138,237,17
139,269,17
140,13,17
141,76,17
142,419,17
143,157,39
144,164,135
145,185,135
146,167,52
147,170,125
148,514,103
149,265,24
150,106,24
151,63,24
152,86,24
153,113,24
154,215,24
155,,55
156,482,26
157,483,26
158,484,26
159,518,148
160,179,18
161,183,54
162,188,96
163,190,78
164,197,93
165,202,127
166,498,88
167,208,178
168,209,60
169,216,29
170,134,35
171,428,35
172,336,35
173,362,35
174,325,35
175,134,69
176,428,69
177,336,69
178,362,69
179,325,69
180,134,114
181,428,114
182,336,114
183,362,114
184,325,114
185,219,38
186,220,104
187,222,13
188,223,107
189,226,132
190,227,132
191,229,132
192,228,132
193,225,132
194,230,175
195,538,150
196,538,155
197,499,147
198,456,7
199,313,7
200,407,7
201,15,7
202,377,7
203,362,7
204,456,34
205,313,34
206,407,34
207,15,34
208,377,34
209,362,34
210,456,68
211,313,68
212,407,68
213,15,68
214,377,68
215,362,68
216,245,23
217,224,159
218,259,91
219,263,180
220,274,10
221,275,41
222,143,41
223,6,41
224,81,41
225,314,41
226,52,41
227,337,41
228,491,145
229,177,47
230,132,47
231,345,47
232,322,47
233,406,47
234,9,47
235,356,158
236,86,158
237,89,158
238,19,158
239,184,158
240,75,158
241,307,174
242,117,174
243,276,174
244,375,174
245,319,79
246,159,79
247,344,79
248,294,79
249,4,79
250,348,79
251,320,82
252,321,101
253,327,28
254,218,76
255,294,76
256,4,76
257,290,76
258,,99
259,340,21
260,344,80
261,352,90
262,255,5
263,394,5
264,350,5
265,71,5
266,40,5
267,255,32
268,394,32
269,350,32
270,71,32
271,40,32
272,255,66
273,394,66
274,350,66
275,71,66
276,40,66
277,367,94
278,367,124
279,368,11
280,432,11
281,361,11
282,94,11
283,369,109
284,373,140
285,396,98
286,400,146
287,402,59
288,401,16
289,409,126
290,492,102
291,414,157
292,416,89
293,435,51
294,435,117
