1,1,1,NULL
2,2,2,NULL
3,3,3,NULL
4,4,4,NULL
5,5,5,NULL
6,6,6,NULL
7,7,7,NULL
8,8,8,NULL
9,9,9,NULL
10,10,10,NULL
11,11,11,NULL
12,12,12,NULL
13,13,13,NULL
14,14,14,NULL
15,15,15,NULL
16,16,16,NULL
17,17,17,NULL
18,18,18,NULL
19,19,19,NULL
20,20,20,NULL
21,21,21,NULL
22,22,22,NULL
23,23,23,NULL
24,24,24,NULL
25,25,25,NULL
26,26,26,NULL
27,27,27,NULL
28,28,28,NULL
29,29,29,NULL
30,30,30,NULL
31,31,31,NULL
32,32,32,NULL
33,33,33,NULL
34,34,34,NULL
35,35,35,NULL
36,36,36,NULL
37,37,37,NULL
38,38,38,NULL
39,39,39,NULL
40,40,40,NULL
41,41,41,NULL
42,42,42,NULL
43,43,43,NULL
44,44,44,NULL
45,45,45,NULL
46,46,46,NULL
47,47,47,NULL
48,48,48,NULL
49,49,49,NULL
50,50,50,NULL
51,51,51,NULL
52,52,52,NULL
53,53,53,NULL
54,54,54,NULL
55,55,55,NULL
56,56,56,NULL
57,57,57,NULL
58,58,58,NULL
59,59,59,NULL
60,60,60,NULL
61,61,61,NULL
62,62,62,NULL
63,63,63,NULL
64,64,64,NULL
65,65,65,NULL
66,66,66,NULL
67,67,67,NULL
68,68,68,NULL
69,69,69,NULL
70,70,70,NULL
71,71,71,NULL
72,72,72,NULL
73,73,73,NULL
74,74,74,NULL
75,75,75,NULL
76,76,76,NULL
77,77,77,NULL
78,78,78,NULL
79,79,79,NULL
80,80,80,NULL
81,81,81,NULL
82,82,82,NULL
83,83,83,NULL
84,84,84,NULL
85,85,85,NULL
86,86,86,NULL
87,87,87,NULL
88,88,88,NULL
89,89,89,NULL
90,90,90,NULL
91,91,91,NULL
92,92,92,NULL
93,93,93,NULL
94,94,94,NULL
95,95,95,NULL
96,96,96,NULL
97,97,97,NULL
98,98,98,NULL
99,99,99,NULL
100,100,100,NULL
101,101,101,NULL
102,102,102,NULL
103,103,103,NULL
104,104,104,NULL
105,105,105,NULL
106,106,106,NULL
107,107,107,NULL
108,108,108,NULL
109,109,109,NULL
110,110,110,NULL
111,111,111,NULL
112,112,112,NULL
113,113,113,NULL
114,114,114,NULL
115,115,115,NULL
116,116,116,NULL
117,117,117,NULL
118,118,118,NULL
119,119,119,NULL
120,120,120,NULL
121,121,121,NULL
122,122,122,NULL
123,123,123,NULL
124,124,124,NULL
125,125,125,NULL
126,126,126,NULL
127,127,127,NULL
128,128,128,NULL
129,129,129,NULL
130,130,130,NULL
131,131,131,NULL
132,132,132,NULL
133,133,133,NULL
134,134,134,NULL
135,135,135,NULL
136,136,136,NULL
137,137,137,NULL
138,138,138,NULL
139,139,139,NULL
140,140,140,NULL
141,142,142,NULL
142,144,144,NULL
143,145,145,NULL
144,146,146,NULL
145,147,147,NULL
146,148,148,NULL
147,149,149,NULL
148,150,150,NULL
149,151,151,NULL
150,152,152,NULL
151,153,153,NULL
152,154,154,NULL
153,155,155,NULL
154,157,157,NULL
155,158,158,NULL
156,159,159,NULL
157,160,160,NULL
158,161,161,NULL
159,162,162,NULL
160,163,163,NULL
161,165,165,NULL
162,169,169,NULL
163,170,170,NULL
164,171,171,NULL
165,172,172,NULL
166,174,174,NULL
167,175,175,NULL
168,176,176,NULL
169,177,177,NULL
170,178,178,NULL
171,179,179,NULL
172,180,180,NULL
