1,181,2,0,1,0,205
2,182,2,1,1,189,206
3,183,2,1,1,190,207
4,184,2,1,1,191,208
5,185,2,1,1,192,209
6,186,2,0,1,0,210
7,187,2,1,1,193,211
8,188,2,1,1,194,212
9,189,2,1,1,195,182
10,190,2,1,1,196,183
11,191,2,1,1,197,184
12,192,2,1,1,198,185
13,193,2,1,1,199,187
14,194,2,1,1,200,188
15,195,2,1,1,201,189
16,196,2,1,1,202,190
17,197,2,0,1,0,191
18,198,2,0,1,0,192
19,199,2,1,1,203,193
20,200,2,1,1,204,194
21,201,2,0,1,0,195
22,202,2,0,1,0,196
23,203,2,0,1,0,199
24,204,2,0,1,0,200
25,205,2,1,0,181,0
26,206,2,1,1,182,213
27,207,2,1,1,183,214
28,208,2,1,0,184,0
29,209,2,1,0,185,0
30,210,2,1,0,186,0
31,211,2,1,0,187,0
32,212,2,1,0,188,0
33,213,2,1,1,206,215
34,214,2,1,1,207,216
35,215,2,1,1,213,217
36,216,2,1,1,214,218
37,217,2,1,0,215,0
38,218,2,1,0,216,0
